Name,Duration,Realtime,%CPU,Peak Memory
SAMPLESHEET_CHECK (samplesheet_concat.csv),1.7s,0ms,82.3%,29.8 MB
SAMTOOLS_FAIDX (UU_Cfam_GSD_1.0_ROSY.fa),11.2s,11s,99.5%,12.2 MB
SAMTOOLS_FAIDX (UU_Cfam_GSD_1.0_ROSY.fa),11.3s,11s,99.5%,12.2 MB
SAMTOOLS_FAIDX (UU_Cfam_GSD_1.0_ROSY.fa),11.4s,11s,99.7%,12.1 MB
SAMTOOLS_FAIDX (UU_Cfam_GSD_1.0_ROSY.fa),11.6s,11s,100.0%,12.1 MB
SAMTOOLS_FAIDX (UU_Cfam_GSD_1.0_ROSY.fa),11.5s,11s,100.1%,11.9 MB
SAMTOOLS_FAIDX (UU_Cfam_GSD_1.0_ROSY.fa),11.6s,11s,99.4%,11.9 MB
GET_CHROM_SIZES (UU_Cfam_GSD_1.0_ROSY.fa),12.9s,12s,98.9%,11.8 MB
NANOPLOT (AA_R1),2m 9s,2m 9s,94.7%,49.9 GB
FASTQC (AA_R1),2m 12s,2m 10s,114.4%,4.4 GB
NANOPLOT (AB_R1),3m 14s,3m 14s,96.7%,59.5 GB
NANOPLOT (AE_R1),3m 27s,3m 26s,97.1%,50 GB
NANOPLOT (AC_R1),3m 30s,3m 29s,97.3%,59.6 GB
NANOPLOT (AD_R1),6m 2s,6m 2s,98.4%,59.5 GB
FASTQC (AD_R1),4m 45s,4m 44s,110.8%,4.7 GB
NANOPLOT (AF_R1),5m 21s,5m 21s,98.2%,68.9 GB
FASTQC (AE_R1),2m 59s,2m 57s,106.3%,4.6 GB
FASTQC (AC_R1),3m 27s,3m 26s,134.2%,4.4 GB
FASTQC (AF_R1),5m 45s,5m 43s,133.5%,4.4 GB
FASTQC (AB_R1),2m 50s,2m 49s,104.2%,4.6 GB
MINIMAP2_INDEX (UU_Cfam_GSD_1.0_ROSY.fa),1m 37s,1m 35s,197.8%,12.3 GB
MINIMAP2_ALIGN (AA_R1),5m 11s,5m 10s,551.0%,11.5 GB
MINIMAP2_ALIGN (AD_R1),10m 57s,10m 56s,589.7%,11.9 GB
MINIMAP2_ALIGN (AC_R1),6m 34s,6m 32s,564.8%,11.6 GB
MINIMAP2_ALIGN (AF_R1),12m 57s,12m 55s,571.5%,12.4 GB
MINIMAP2_ALIGN (AB_R1),7m 1s,6m 59s,537.7%,11.4 GB
SAMTOOLS_VIEW_BAM (AA_R1),13.8s,13s,481.8%,655.2 MB
SAMTOOLS_VIEW_BAM (AD_R1),40.1s,40s,496.9%,655.2 MB
SAMTOOLS_SORT_INDEX (AA_R1),59.4s,59s,189.5%,2 GB
SAMTOOLS_VIEW_BAM (AC_R1),26.8s,26s,483.6%,656.1 MB
MINIMAP2_ALIGN (AE_R1),8m 22s,8m 20s,574.3%,11.3 GB
SAMTOOLS_VIEW_BAM (AF_R1),44.9s,45s,413.4%,655.2 MB
SAMTOOLS_IDXSTATS (AA_R1),1s,1s,48.9%,11.5 MB
SAMTOOLS_FLAGSTAT (AA_R1),9.3s,9s,115.8%,220.8 MB
SAMTOOLS_VIEW_BAM (AB_R1),23.6s,23s,497.4%,655.2 MB
SAMTOOLS_STATS (AA_R1),48.4s,48s,122.8%,944.4 MB
SAMTOOLS_SORT_INDEX (AB_R1),1m 28s,1m 27s,185.3%,2 GB
SAMTOOLS_SORT_INDEX (AC_R1),1m 51s,1m 50s,184.0%,1.9 GB
SAMTOOLS_IDXSTATS (AB_R1),3.3s,0ms,25.8%,5.4 MB
SAMTOOLS_IDXSTATS (AC_R1),457ms,1s,105.1%,12.6 MB
SAMTOOLS_FLAGSTAT (AB_R1),15.2s,13s,116.9%,220.8 MB
BEDTOOLS_GENOMECOV (AA_R1),1m 55s,1m 52s,138.2%,8.4 GB
SAMTOOLS_FLAGSTAT (AC_R1),20s,14s,117.3%,220.8 MB
SAMTOOLS_SORT_INDEX (AD_R1),3m 11s,3m 9s,179.4%,2 GB
SAMTOOLS_IDXSTATS (AD_R1),11s,0ms,97.8%,11.8 MB
SAMTOOLS_SORT_INDEX (AF_R1),2m 44s,2m 44s,185.8%,1.9 GB
SAMTOOLS_IDXSTATS (AF_R1),8.1s,0ms,98.1%,13 MB
SAMTOOLS_FLAGSTAT (AD_R1),41.3s,30s,110.9%,220.8 MB
SAMTOOLS_STATS (AB_R1),1m 14s,1m 12s,126.0%,774.4 MB
SAMTOOLS_STATS (AC_R1),1m 19s,1m 14s,126.2%,1 GB
SAMTOOLS_FLAGSTAT (AF_R1),29.2s,21s,119.2%,220.8 MB
SAMTOOLS_VIEW_BAM (AE_R1),27.2s,26s,460.3%,655.2 MB
SAMTOOLS_STATS (AD_R1),2m 9s,1m 58s,131.5%,1.4 GB
SAMTOOLS_STATS (AF_R1),2m 5s,1m 57s,127.9%,1 GB
SAMTOOLS_SORT_INDEX (AE_R1),1m 22s,1m 21s,195.1%,2 GB
SAMTOOLS_IDXSTATS (AE_R1),6.5s,0ms,95.7%,11.6 MB
SAMTOOLS_FLAGSTAT (AE_R1),19.9s,13s,118.6%,220.8 MB
BEDTOOLS_GENOMECOV (AB_R1),3m 17s,3m 15s,141.6%,14.9 GB
SAMTOOLS_STATS (AE_R1),1m 15s,1m 15s,127.7%,964.1 MB
DEEPVARIANT (AA_R1),3h 45m 50s,3h 45m 46s,581.1%,14.8 GB
DEEPVARIANT_TABIX_VCF (AA_R1),911ms,1s,68.1%,11.8 MB
DEEPVARIANT_TABIX_GVCF (AA_R1),29.5s,29s,92.1%,26.7 MB
DEEPVARIANT (AB_R1),4h 3m 15s,4h 3m 11s,753.6%,14.8 GB
DEEPVARIANT_TABIX_VCF (AB_R1),681ms,1s,98.1%,10.9 MB
DEEPVARIANT_TABIX_GVCF (AB_R1),31.8s,32s,100.1%,28.7 MB
BEDTOOLS_GENOMECOV (AC_R1),4m 34s,4m 32s,135.0%,15.4 GB
UCSC_BEDGRAPHTOBIGWIG (AA_R1),45.1s,43s,97.7%,76.4 MB
BEDTOOLS_GENOMECOV (AD_R1),5m 50s,5m 49s,139.0%,28.9 GB
DEEPVARIANT (AC_R1),5h 14m 45s,5h 14m 44s,700.7%,14.8 GB
DEEPVARIANT_TABIX_VCF (AC_R1),3.5s,1s,98.4%,10.6 MB
DEEPVARIANT_TABIX_GVCF (AC_R1),34.3s,32s,99.5%,29.5 MB
DEEPVARIANT (AD_R1),7h 55m 50s,7h 55m 48s,758.1%,14.9 GB
DEEPVARIANT_TABIX_VCF (AD_R1),1.3s,1s,100.5%,10.6 MB
DEEPVARIANT_TABIX_GVCF (AD_R1),56.5s,57s,100.1%,29.7 MB
BEDTOOLS_GENOMECOV (AF_R1),4m 54s,4m 52s,140.2%,22.7 GB
DEEPVARIANT (AF_R1),7h 16m 56s,7h 16m 53s,730.7%,14.8 GB
DEEPVARIANT_TABIX_VCF (AF_R1),1.9s,1s,94.1%,11.3 MB
DEEPVARIANT_TABIX_GVCF (AF_R1),1m 6s,1m 6s,95.6%,27.3 MB
BEDTOOLS_GENOMECOV (AE_R1),4m 38s,4m 32s,129.5%,15 GB
UCSC_BEDGRAPHTOBIGWIG (AB_R1),1m 11s,1m 9s,93.1%,110.3 MB
UCSC_BEDGRAPHTOBIGWIG (AC_R1),1m 11s,1m 9s,95.6%,115.7 MB
UCSC_BEDGRAPHTOBIGWIG (AD_R1),2m 21s,2m 19s,96.7%,192.1 MB
UCSC_BEDGRAPHTOBIGWIG (AF_R1),1m 49s,1m 47s,96.0%,149.6 MB
UCSC_BEDGRAPHTOBIGWIG (AE_R1),1m 11s,1m 9s,96.4%,115.7 MB
DEEPVARIANT (AE_R1),5h 10m 6s,5h 10m 5s,713.8%,14.8 GB
DEEPVARIANT_TABIX_VCF (AE_R1),668ms,1s,100.4%,11 MB
CUTESV (AA_R1),34.1s,31s,375.5%,41.5 GB
DEEPVARIANT_TABIX_GVCF (AE_R1),35.5s,34s,99.8%,26.6 MB
CUSTOM_DUMPSOFTWAREVERSIONS (1),725ms,315ms,85.3%,12 MB
CUTESV (AB_R1),34.1s,33s,464.2%,41.5 GB
CUTESV (AC_R1),33.8s,33s,480.8%,41.5 GB
CUTESV (AD_R1),38.6s,38s,604.0%,41.5 GB
CUTESV (AF_R1),36s,36s,555.4%,39.2 GB
CUTESV (AE_R1),33.3s,33s,511.7%,41.5 GB
CUTESV_SORT_VCF (AA_R1),561ms,0ms,562.3%,49.3 MB
CUTESV_SORT_VCF (AB_R1),475ms,0ms,928.7%,51.4 MB
CUTESV_TABIX_VCF (AA_R1),361ms,0ms,100.0%,5.4 MB
CUTESV_TABIX_VCF (AB_R1),402ms,0ms,101.7%,5.4 MB
CUTESV_SORT_VCF (AC_R1),509ms,0ms,893.5%,51 MB
CUTESV_SORT_VCF (AD_R1),513ms,0ms,906.9%,14.6 MB
CUTESV_TABIX_VCF (AC_R1),318ms,0ms,96.5%,5.4 MB
CUTESV_TABIX_VCF (AD_R1),327ms,0ms,114.3%,5.4 MB
CUTESV_SORT_VCF (AF_R1),460ms,0ms,1092.8%,49.3 MB
CUTESV_TABIX_VCF (AF_R1),430ms,0ms,68.0%,5.4 MB
CUTESV_SORT_VCF (AE_R1),503ms,0ms,909.1%,51.4 MB
CUTESV_TABIX_VCF (AE_R1),306ms,0ms,84.6%,5.4 MB
MULTIQC (1),29.3s,28.7s,120.1%,3.4 GB
