Directory,Quality,Count,Qlt*Read
AA-1_R1_fastqc,4,7.0,28.0
AA-1_R1_fastqc,5,50.0,250.0
AA-1_R1_fastqc,6,127.0,762.0
AA-1_R1_fastqc,7,89.0,623.0
AA-1_R1_fastqc,8,84.0,672.0
AA-1_R1_fastqc,9,141.0,1269.0
AA-1_R1_fastqc,10,171.0,1710.0
AA-1_R1_fastqc,11,206.0,2266.0
AA-1_R1_fastqc,12,230.0,2760.0
AA-1_R1_fastqc,13,279.0,3627.0
AA-1_R1_fastqc,14,333.0,4662.0
AA-1_R1_fastqc,15,471.0,7065.0
AA-1_R1_fastqc,16,647.0,10352.0
AA-1_R1_fastqc,17,889.0,15113.0
AA-1_R1_fastqc,18,1240.0,22320.0
AA-1_R1_fastqc,19,1624.0,30856.0
AA-1_R1_fastqc,20,2305.0,46100.0
AA-1_R1_fastqc,21,3545.0,74445.0
AA-1_R1_fastqc,22,4685.0,103070.0
AA-1_R1_fastqc,23,7022.0,161506.0
AA-1_R1_fastqc,24,7887.0,189288.0
AA-1_R1_fastqc,25,5665.0,141625.0
AA-1_R1_fastqc,26,1649.0,42874.0
AA-1_R1_fastqc,27,244.0,6588.0
AA-1_R1_fastqc,28,54.0,1512.0
AA-1_R1_fastqc,29,21.0,609.0
AA-1_R1_fastqc,30,9.0,270.0
AA-1_R1_fastqc,31,9.0,279.0
AA-1_R1_fastqc,32,6.0,192.0
AA-1_R1_fastqc,33,3.0,99.0
AA-1_R1_fastqc,34,5.0,170.0
AA-1_R1_fastqc,35,2.0,70.0
AA-1_R1_fastqc,36,0.0,0.0
AA-1_R1_fastqc,37,1.0,37.0
AA-1_R1_fastqc,38,1.0,38.0
AA-1_R1_fastqc,39,0.0,0.0
AA-1_R1_fastqc,40,0.0,0.0
AA-1_R1_fastqc,41,2.0,82.0
AA-1_R1_fastqc,42,0.0,0.0
AA-1_R1_fastqc,43,0.0,0.0
AA-1_R1_fastqc,44,0.0,0.0
AA-1_R1_fastqc,45,1.0,45.0
AA-1_R1_fastqc,46,1.0,46.0
AA-2_R1_fastqc,4,5.0,20.0
AA-2_R1_fastqc,5,26.0,130.0
AA-2_R1_fastqc,6,49.0,294.0
AA-2_R1_fastqc,7,39.0,273.0
AA-2_R1_fastqc,8,57.0,456.0
AA-2_R1_fastqc,9,44.0,396.0
AA-2_R1_fastqc,10,97.0,970.0
AA-2_R1_fastqc,11,94.0,1034.0
AA-2_R1_fastqc,12,91.0,1092.0
AA-2_R1_fastqc,13,129.0,1677.0
AA-2_R1_fastqc,14,178.0,2492.0
AA-2_R1_fastqc,15,249.0,3735.0
AA-2_R1_fastqc,16,354.0,5664.0
AA-2_R1_fastqc,17,483.0,8211.0
AA-2_R1_fastqc,18,628.0,11304.0
AA-2_R1_fastqc,19,852.0,16188.0
AA-2_R1_fastqc,20,1165.0,23300.0
AA-2_R1_fastqc,21,1692.0,35532.0
AA-2_R1_fastqc,22,2620.0,57640.0
AA-2_R1_fastqc,23,3835.0,88205.0
AA-2_R1_fastqc,24,4432.0,106368.0
AA-2_R1_fastqc,25,3031.0,75775.0
AA-2_R1_fastqc,26,671.0,17446.0
AA-2_R1_fastqc,27,106.0,2862.0
AA-2_R1_fastqc,28,22.0,616.0
AA-2_R1_fastqc,29,7.0,203.0
AA-2_R1_fastqc,30,5.0,150.0
AA-2_R1_fastqc,31,2.0,62.0
AA-2_R1_fastqc,32,3.0,96.0
AA-2_R1_fastqc,33,1.0,33.0
AA-2_R1_fastqc,34,1.0,34.0
AA-2_R1_fastqc,35,2.0,70.0
AA-2_R1_fastqc,36,2.0,72.0
AA-2_R1_fastqc,37,0.0,0.0
AA-2_R1_fastqc,38,0.0,0.0
AA-2_R1_fastqc,39,2.0,78.0
AA-2_R1_fastqc,40,0.0,0.0
AA-2_R1_fastqc,41,0.0,0.0
AA-2_R1_fastqc,42,0.0,0.0
AA-2_R1_fastqc,43,0.0,0.0
AA-2_R1_fastqc,44,1.0,44.0
AA-2_R1_fastqc,45,0.0,0.0
AA-2_R1_fastqc,46,0.0,0.0
AA-2_R1_fastqc,47,0.0,0.0
AA-2_R1_fastqc,48,1.0,48.0
AB-1_R1_fastqc,3,2.0,6.0
AB-1_R1_fastqc,4,21.0,84.0
AB-1_R1_fastqc,5,88.0,440.0
AB-1_R1_fastqc,6,181.0,1086.0
AB-1_R1_fastqc,7,212.0,1484.0
AB-1_R1_fastqc,8,251.0,2008.0
AB-1_R1_fastqc,9,312.0,2808.0
AB-1_R1_fastqc,10,410.0,4100.0
AB-1_R1_fastqc,11,453.0,4983.0
AB-1_R1_fastqc,12,583.0,6996.0
AB-1_R1_fastqc,13,678.0,8814.0
AB-1_R1_fastqc,14,895.0,12530.0
