Directory: AA-1_R1_fastqc
>>Per sequence quality scores	warn
#Quality	Count
4	7.0
5	50.0
6	127.0
7	89.0
8	84.0
9	141.0
10	171.0
11	206.0
12	230.0
13	279.0
14	333.0
15	471.0
16	647.0
17	889.0
18	1240.0
19	1624.0
20	2305.0
21	3545.0
22	4685.0
23	7022.0
24	7887.0
25	5665.0
26	1649.0
27	244.0
28	54.0
29	21.0
30	9.0
31	9.0
32	6.0
33	3.0
34	5.0
35	2.0
36	0.0
37	1.0
38	1.0
39	0.0
40	0.0
41	2.0
42	0.0
43	0.0
44	0.0
45	1.0
46	1.0
>>END_MODULE

Directory: AA-2_R1_fastqc
>>Per sequence quality scores	warn
#Quality	Count
4	5.0
5	26.0
6	49.0
7	39.0
8	57.0
9	44.0
10	97.0
11	94.0
12	91.0
13	129.0
14	178.0
15	249.0
16	354.0
17	483.0
18	628.0
19	852.0
20	1165.0
21	1692.0
22	2620.0
23	3835.0
24	4432.0
25	3031.0
26	671.0
27	106.0
28	22.0
29	7.0
30	5.0
31	2.0
32	3.0
33	1.0
34	1.0
35	2.0
36	2.0
37	0.0
38	0.0
39	2.0
40	0.0
41	0.0
42	0.0
43	0.0
44	1.0
45	0.0
46	0.0
47	0.0
48	1.0
>>END_MODULE

Directory: AB-1_R1_fastqc
>>Per sequence quality scores	warn
#Quality	Count
3	2.0
4	21.0
5	88.0
6	181.0
7	212.0
8	251.0
9	312.0
10	410.0
11	453.0
12	583.0
13	678.0
14	895.0
15	1135.0
16	1613.0
17	2288.0
18	2926.0
19	3996.0
20	5507.0
21	7749.0
22	11161.0
23	14984.0
24	17292.0
25	11952.0
26	3939.0
27	699.0
28	139.0
29	64.0
30	42.0
31	25.0
32	19.0
33	12.0
34	3.0
35	6.0
36	6.0
37	4.0
38	3.0
39	3.0
40	3.0
41	2.0
42	3.0
43	1.0
44	4.0
45	1.0
46	0.0
47	0.0
48	0.0
49	0.0
50	0.0
51	1.0
52	0.0
53	0.0
54	0.0
55	0.0
56	0.0
57	0.0
58	0.0
59	0.0
60	1.0
>>END_MODULE

Directory: AB-2_R1_fastqc
>>Per sequence quality scores	warn
#Quality	Count
3	1.0
4	12.0
5	103.0
6	192.0
7	167.0
8	139.0
9	165.0
10	193.0
11	215.0
12	315.0
13	349.0
14	484.0
15	667.0
16	872.0
17	1218.0
18	1707.0
19	2164.0
20	2964.0
21	4104.0
22	5930.0
23	8118.0
24	8952.0
25	6124.0
26	1532.0
27	280.0
28	66.0
29	26.0
30	26.0
31	11.0
32	8.0
33	6.0
34	8.0
35	8.0
36	1.0
37	2.0
38	1.0
39	2.0
40	0.0
41	0.0
42	1.0
43	0.0
44	0.0
45	1.0
46	0.0
47	0.0
48	0.0
49	1.0
50	0.0
51	0.0
52	1.0
53	0.0
54	0.0
55	0.0
56	0.0
57	0.0
58	0.0
59	0.0
60	1.0
61	0.0
62	0.0
63	0.0
64	0.0
65	0.0
66	0.0
67	0.0
68	0.0
69	1.0
>>END_MODULE

Directory: AC-1_R1_fastqc
>>Per sequence quality scores	warn
#Quality	Count
4	22.0
5	167.0
6	294.0
7	339.0
8	370.0
9	530.0
10	652.0
11	727.0
12	839.0
13	1062.0
14	1379.0
15	1756.0
16	2309.0
17	3170.0
18	4190.0
19	5754.0
20	7735.0
21	10636.0
22	14832.0
23	19749.0
24	21772.0
25	15879.0
26	6014.0
27	1272.0
28	319.0
29	116.0
30	55.0
31	34.0
32	20.0
33	19.0
34	17.0
35	14.0
36	7.0
37	7.0
38	6.0
39	1.0
40	3.0
41	2.0
42	3.0
43	2.0
44	1.0
45	0.0
46	0.0
47	0.0
48	1.0
49	0.0
50	0.0
51	2.0
52	0.0
53	0.0
54	0.0
55	0.0
56	0.0
57	0.0
58	0.0
59	2.0
60	0.0
61	0.0
62	0.0
63	0.0
64	0.0
65	0.0
66	0.0
67	0.0
68	0.0
69	0.0
70	1.0
71	1.0
