File,Variant Type,Variant Length,counts
BB-3,DEL,-113,37
BB-3,INS,33,592
BB-3,INS,211,274
BB-3,DEL,-6035,1
BB-3,INS,52,131
BB-3,DEL,-51,244
BB-3,INS,204,354
BB-3,INS,905,2
BB-3,DEL,-61,134
BB-3,INS,209,344
BB-3,INS,138,20
BB-3,INV,464,2
BB-3,INV,366,1
BB-3,DEL,-55,197
BB-3,INS,194,185
BB-3,INS,90,46
BB-3,INS,32,627
BB-3,DEL,-37,383
BB-3,DEL,-215,274
BB-3,DEL,-206,332
BB-3,DEL,-30,487
BB-3,DEL,-230,91
BB-3,INS,206,353
BB-3,DEL,-32,563
BB-3,INV,107,2
BB-3,INV,120,2
BB-3,DEL,-350,5
BB-3,INS,34,553
BB-3,DEL,-74,85
BB-3,INS,58,112
BB-3,INS,159,19
BB-3,DEL,-135,31
BB-3,INS,295,9
BB-3,INS,54,129
BB-3,DEL,-37,383
BB-3,INS,1196,1
BB-3,INS,39,440
BB-3,INS,40,348
BB-3,INS,119,38
BB-3,INS,35,534
BB-3,DEL,-132,26
BB-3,INS,179,38
BB-3,DEL,-161,27
BB-3,INS,180,36
BB-3,DEL,-505,2
BB-3,INS,744,1
BB-3,INS,194,185
BB-3,DEL,-1157,1
BB-3,INV,161,1
BB-3,INV,192,4
BB-3,DEL,-2374,1
BB-3,INS,188,87
BB-3,INS,120,26
BB-3,DEL,-76,81
BB-3,DEL,-216,249
BB-3,INS,36,495
BB-3,INS,43,253
BB-3,INS,452,4
BB-3,INS,69,64
BB-3,DEL,-36,435
BB-3,INS,196,251
BB-3,DEL,-38,392
BB-3,DEL,-219,216
BB-3,DEL,-36,435
BB-3,INS,33,592
BB-3,DEL,-30,487
BB-3,INS,184,43
BB-3,INS,32,627
BB-3,DEL,-216,249
BB-3,DEL,-41,309
BB-3,INS,86,49
BB-3,DEL,-36,435
BB-3,DEL,-208,350
BB-3,INS,1291,1
BB-3,DEL,-58,150
BB-3,INS,200,279
BB-3,DEL,-195,182
BB-3,DEL,-197,192
BB-3,INS,32,627
BB-3,INS,176,28
BB-3,DEL,-64,124
BB-3,INS,100,38
BB-3,INS,58,112
BB-3,DEL,-82,62
BB-3,INS,59,90
BB-3,DEL,-206,332
BB-3,DEL,-910,1
BB-3,DEL,-208,350
BB-3,DEL,-31,476
BB-3,DEL,-46,277
BB-3,INS,35,534
BB-3,INS,53,134
BB-3,DEL,-205,314
BB-3,INS,60,86
BB-3,DEL,-207,375
BB-3,INS,30,416
BB-3,DEL,-58,150
BB-3,INS,35,534
BB-3,DEL,-65,117
BB-3,INS,800,2
BB-3,DEL,-202,285
BB-3,INS,201,319
BB-3,DEL,-379,3
BB-3,DEL,-212,299
BB-3,DEL,-661,3
BB-3,INS,203,318
BB-3,DEL,-43,312
BB-3,INS,38,441
BB-3,INS,195,204
BB-3,DEL,-97,53
BB-3,INS,6297,1
BB-3,INS,98,41
BB-3,INS,198,270
BB-3,INS,95,41
BB-3,DEL,-39,390
BB-3,DEL,-51,244
BB-3,DEL,-59,135
BB-3,INS,135,25
BB-3,DEL,-115,42
BB-3,INS,33,592
BB-3,INS,30,416
BB-3,INS,157,23
BB-3,INS,39,440
BB-3,DEL,-48,229
BB-3,INS,199,336
BB-3,DEL,-1104,1
BB-3,DEL,-51,244
BB-3,DEL,-229,109
BB-3,DEL,-211,298
BB-3,DEL,-50,237
BB-3,INS,42,272
BB-3,INS,220,156
BB-3,INS,573,3
BB-3,INS,37,413
BB-3,DEL,-61,134
BB-3,DEL,-102,39
BB-3,INS,51,156
BB-3,DEL,-199,266
BB-3,DEL,-195,182
BB-3,INS,205,359
BB-3,INS,217,194
BB-3,INS,199,336
BB-3,DEL,-208,350
BB-3,INS,49,166
BB-3,DEL,-48,229
BB-3,DEL,-95,41
BB-3,DEL,-60,134
BB-3,INS,33,592
BB-3,DEL,-48,229
BB-3,INS,30,416
BB-3,INS,209,344
BB-3,INS,32,627
BB-3,DEL,-205,314
BB-3,DEL,-220,219
BB-3,INS,200,279
BB-3,DEL,-673,3
BB-3,DEL,-3978,1
BB-3,INS,38,441
BB-3,INS,198,270
BB-3,DEL,-420,3
BB-3,INS,43,253
BB-3,INS,32,627
BB-3,DEL,-66,83
BB-3,DEL,-1099,1
BB-3,INS,210,306
BB-3,INS,72,78
BB-3,INS,63,93
BB-3,INS,225,89
BB-3,INS,199,336
BB-3,INS,204,354
BB-3,DEL,-206,332
BB-3,DEL,-206,332
BB-3,INS,209,344
BB-3,INS,199,336
BB-3,INS,195,204
BB-3,DEL,-67,123
BB-3,DEL,-162,21
BB-3,INS,36,495
BB-3,DEL,-37,383
BB-3,INS,189,97
BB-3,INS,58,112
BB-3,DEL,-114,41
BB-3,DEL,-201,267
BB-3,INS,80,51
BB-3,INS,45,231
BB-3,DEL,-199,266
BB-3,DEL,-196,188
BB-3,INS,216,195
BB-3,INS,209,344
BB-3,INS,32,627
BB-3,DEL,-90,59
BB-3,DEL,-49,246
BB-3,BND,53,2
BB-3,INS,40,348
BB-3,INS,-123,22
BB-3,DEL,227,61
BB-3,INS,-76,63
BB-3,DEL,222,110
BB-3,INS,48,182
BB-3,INS,192,164
BB-3,INS,42,272
BB-3,INS,103,34
BB-3,INS,-92,45
BB-3,DEL,49,200
BB-3,INS,32,627
BB-3,INS,-2562,1
BB-3,DEL,-207,375
BB-3,DEL,31,540
BB-3,INS,-228,100
BB-3,DEL,41,313
BB-3,INS,-42,277
BB-3,DEL,-33,419
BB-3,DEL,193,193
BB-3,INS,217,194
BB-3,INS,-96,33
BB-3,DEL,181,33
BB-3,INS,-208,345
BB-3,DEL,-197,192
BB-3,DEL,214,239
BB-3,INS,-202,269
BB-3,DEL,31,540
BB-3,INS,-49,208
BB-3,DEL,-366,5
BB-3,DEL,-205,314
BB-3,DEL,-242,41
BB-3,DEL,-88,42
BB-3,DEL,240,26
BB-3,INS,-130,27
BB-3,DEL,-498,3
BB-3,DEL,-85,68
BB-3,DEL,-487,3
BB-3,DEL,-40,371
BB-3,DEL,207,296
BB-3,INS,32,627
BB-3,INS,119,38
BB-3,INS,-80,64
BB-3,DEL,-215,274
BB-3,DEL,53,137
BB-3,INS,329,11
BB-3,INV,322,1
BB-3,INV,46,3
BB-3,INS,-38,373
BB-3,DEL,47,231
BB-3,INS,195,204
BB-3,INS,-213,282
BB-3,DEL,-231,87
BB-3,DEL,-40,371
BB-3,DEL,-239,50
BB-3,DEL,-35,459
BB-3,DEL,42,305
BB-3,INS,195,204
BB-3,INS,119,38
BB-3,INS,-207,323
BB-3,DEL,173,26
BB-3,INS,-202,269
BB-3,DEL,-32,563
BB-3,DEL,69,75
BB-3,INS,197,268
BB-3,INS,-55,152
BB-3,DEL,109,32
BB-3,INS,-500,4
BB-3,DEL,53,137
BB-3,INS,-215,250
BB-3,DEL,-144,22
BB-3,DEL,-163,22
BB-3,DEL,171,18
BB-3,INS,-49,208
BB-3,DEL,198,297
BB-3,INS,208,299
BB-3,INS,-112,46
BB-3,DEL,60,95
BB-3,INS,-42,277
BB-3,DEL,-193,116
BB-3,DEL,-150,26
BB-3,DEL,30,464
BB-3,INS,196,251
BB-3,INS,71,72
BB-3,INS,-54,183
BB-3,DEL,-212,299
BB-3,DEL,-207,375
BB-3,DEL,37,450
BB-3,INS,-47,237
BB-3,DEL,55,121
BB-3,INS,225,89
BB-3,INS,204,354
BB-3,INS,-220,191
BB-3,DEL,-364,5
BB-3,DEL,-194,154
BB-3,DEL,42,305
BB-3,INS,-189,59
BB-3,DEL,-52,210
BB-3,DEL,210,281
BB-3,INS,31,526
BB-3,INS,-213,282
BB-3,DEL,220,130
BB-3,INS,-48,233
BB-3,DEL,50,169
BB-3,INS,38,441
BB-3,INS,41,319
BB-3,INS,-50,256
BB-3,DEL,224,94
BB-3,INS,-50,256
BB-3,DEL,-41,309
BB-3,DEL,40,360
BB-3,INS,-43,268
BB-3,DEL,210,281
BB-3,INS,-1029,3
BB-3,DEL,-31,476
BB-3,DEL,-32,563
BB-3,DEL,144,31
BB-3,INS,-116,45
BB-3,DEL,-37,383
BB-3,DEL,35,565
BB-3,INS,-34,443
BB-3,DEL,190,130
BB-3,DUP,-155,1
BB-3,DEL,135,29
BB-3,INS,213,238
BB-3,INS,99,50
BB-3,INS,-64,112
BB-3,DEL,-62,111
BB-3,DEL,-31,476
BB-3,DEL,-80,70
BB-3,DEL,-39,390
BB-3,DEL,-45,290
BB-3,DEL,-31,476
BB-3,DEL,-33,419
BB-3,DEL,-212,299
BB-3,DEL,-203,318
BB-3,DEL,-191,76
BB-3,DEL,34,515
BB-3,INS,455,2
BB-3,INS,206,353
BB-3,INS,211,274
BB-3,INS,51,156
BB-3,INS,51,156
BB-3,INS,-34,443
BB-3,DEL,-463,4
BB-3,DEL,-209,292
BB-3,DEL,61,89
BB-3,INS,309,10
BB-3,INS,167,23
BB-3,INS,52,131
BB-3,INS,32,627
BB-3,INS,38,441
BB-3,INS,37,413
BB-3,INS,241,21
BB-3,INS,-233,74
BB-3,DEL,-208,350
BB-3,DEL,-30,487
BB-3,DEL,-67,123
BB-3,DEL,-205,314
BB-3,DEL,-41,309
BB-3,DEL,-49,246
BB-3,DEL,-34,442
BB-3,DEL,192,144
BB-3,INS,-219,198
BB-3,DEL,-238,49
BB-3,DEL,-204,321
BB-3,DEL,-208,350
BB-3,DEL,-203,318
BB-3,DEL,-30,487
BB-3,DEL,33,570
BB-3,INS,-30,513
BB-3,DEL,209,324
